ID,DICO,Concelho,Distrito,Local,ZonaNeve,Cz,ZonaSismica1,Acel1,ZonaSismica2,Acel2,ZonaTmin,Tmin,ZonaTmax,Tmax,Alt_Max,Alt_Min,ZonaVento,
294,1317,Vila Nova de Gaia,Porto,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona B,0,Zona B,40,262,0,Zona C,
0,1401,Abrantes,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,317,18,Zona A,
7,1402,Alcanena,Santarém,Continente,Z3,0.1,1.5,0.60,2.4,1.10,Zona A,-5,Zona B,40,678,43,Zona B,
18,1403,Almeirim,Santarém,Continente,Z3,0.1,1.5,0.60,2.3,1.70,Zona A,-5,Zona A,45,171,5,Zona A,
20,1404,Alpiarça,Santarém,Continente,Z3,0.1,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,132,9,Zona A,
47,1405,Benavente,Santarém,Continente,Z3,0.1,1.4,1.00,2.3,1.70,Zona B,0,Zona B,40,78,0,Zona A,
64,1406,Cartaxo,Santarém,Continente,Z3,0.1,1.4,1.00,2.3,1.70,Zona B,0,Zona B,40,130,3,Zona A,
75,1407,Chamusca,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,200,11,Zona A,
80,1408,Constância,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,224,22,Zona A,
81,1409,Coruche,Santarém,Continente,Z3,0.1,1.4,1.00,2.3,1.70,Zona A,-5,Zona A,45,264,7,Zona A,
87,1410,Entroncamento,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,87,25,Zona A,
97,1411,Ferreira do Zêzere,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,451,125,Zona A,
108,1412,Golegã,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,95,14,Zona A,
130,1413,Mação,Santarém,Continente,Z1,0.3,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,643,47,Zona B,
182,1421,Ourém,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona B,40,678,95,Zona B,
224,1414,Rio Maior,Santarém,Continente,Z3,0.1,1.5,0.60,2.3,1.70,Zona B,0,Zona B,40,497,25,Zona A,
227,1415,Salvaterra de Magos,Santarém,Continente,Z3,0.1,1.4,1.00,2.3,1.70,Zona B,0,Zona B,40,105,2,Zona A,
235,1416,Santarém,Santarém,Continente,Z3,0.1,1.5,0.60,2.3,1.70,Zona A,-5,Zona B,40,529,3,Zona A,
244,1417,Sardoal,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,452,75,Zona A,
265,1418,Tomar,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,350,32,Zona A,
268,1419,Torres Novas,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona B,40,678,13,Zona B,
290,1420,Vila Nova da Barquinha,Santarém,Continente,Z2,0.2,1.5,0.60,2.4,1.10,Zona A,-5,Zona A,45,201,19,Zona A,
6,1501,Alcácer do Sal,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona A,-5,Zona A,45,254,0,Zona C,
9,1502,Alcochete,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,61,0,Zona A,
16,1503,Almada,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,125,0,Zona C,
43,1504,Barreiro,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,76,0,Zona A,
111,1505,Grândola,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona A,-5,Zona A,45,325,0,Zona C,
153,1506,Moita,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,58,0,Zona A,
161,1507,Montijo,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,135,0,Zona A,
186,1508,Palmela,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,391,0,Zona A,
236,1509,Santiago do Cacém,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona A,45,370,0,Zona C,
247,1510,Seixal,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,81,0,Zona A,
251,1511,Sesimbra,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,380,0,Zona C,
252,1512,Setúbal,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona B,40,501,0,Zona C,
255,1513,Sines,Setúbal,Continente,Z3,0.1,1.3,1.50,2.3,1.70,Zona B,0,Zona A,45,250,0,Zona C,
30,1601,Arcos de Valdevez,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,1416,17,Zona B,
59,1602,Caminha,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona B,0,Zona B,40,805,0,Zona D,
144,1603,Melgaço,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,1336,25,Zona B,
154,1604,Monção,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,1114,9,Zona B,
189,1605,Paredes de Coura,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,883,125,Zona B,
203,1606,Ponte da Barca,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,1359,25,Zona B,
204,1607,Ponte de Lima,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,835,3,Zona B,
274,1608,Valença,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona B,40,784,0,Zona B,
280,1609,Viana do Castelo,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona B,0,Zona B,40,823,0,Zona D,
291,1610,Vila Nova de Cerveira,Viana do Castelo,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona B,0,Zona B,40,638,0,Zona B,
13,1701,Alijó,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1000,75,Zona B,
50,1702,Boticas,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1270,250,Zona B,
76,1703,Chaves,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1050,300,Zona B,
146,1704,Mesão Frio,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1038,50,Zona B,
156,1705,Mondim de Basto,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1307,100,Zona B,
158,1706,Montalegre,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1527,175,Zona B,
166,1707,Murça,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1031,175,Zona B,
198,1708,Peso da Régua,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1397,50,Zona B,
222,1709,Ribeira de Pena,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1286,153,Zona B,
225,1710,Sabrosa,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1100,75,Zona B,
233,1711,Santa Marta de Penaguião,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1416,75,Zona B,
276,1712,Valpaços,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1148,225,Zona B,
297,1713,Vila Pouca de Aguiar,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1205,225,Zona B,
298,1714,Vila Real,Vila Real,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1350,125,Zona B,
32,1801,Armamar,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,955,75,Zona B,
63,1802,Carregal do Sal,Viseu,Continente,Z1,0.3,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,375,150,Zona A,
70,1803,Castro Daire,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1375,200,Zona B,
77,1804,Cinfães,Viseu,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1381,12,Zona B,
122,1805,Lamego,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1122,50,Zona B,
136,1806,Mangualde,Viseu,Continente,Z1,0.3,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,766,225,Zona B,
152,1807,Moimenta da Beira,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1011,375,Zona B,
163,1808,Mortágua,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,768,75,Zona B,
169,1809,Nelas,Viseu,Continente,Z1,0.3,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,484,150,Zona A,
179,1810,Oliveira de Frades,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,1062,50,Zona B,
193,1811,Penalva do Castelo,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,724,325,Zona B,
195,1812,Penedono,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1000,450,Zona B,
220,1813,Resende,Viseu,Continente,Z2,0.2,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1218,50,Zona B,
228,1814,Santa Comba Dão,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,352,137,Zona A,
240,1815,São João da Pesqueira,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,994,75,Zona B,
241,1816,São Pedro do Sul,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,1119,75,Zona B,
245,1817,Sátão,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,859,375,Zona B,
248,1818,Sernancelhe,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,964,475,Zona B,
261,1819,Tabuaço,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,985,75,Zona B,
262,1820,Tarouca,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1102,325,Zona B,
266,1821,Tondela,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,1075,133,Zona B,
295,1822,Vila Nova de Paiva,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,1036,550,Zona B,
305,1823,Viseu,Viseu,Continente,Z1,0.3,1.6,0.35,2.5,0.80,Zona A,-5,Zona A,45,899,200,Zona B,
307,1824,Vouzela,Viseu,Continente,Z2,0.2,1.6,0.35,2.4,1.10,Zona A,-5,Zona A,45,1043,125,Zona B,
56,3101,Calheta,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1640,0,Zona B,
58,3102,Câmara de Lobos,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1862,0,Zona B,
104,3103,Funchal,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1818,0,Zona B,
132,3104,Machico,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1480,0,Zona B,
202,3105,Ponta do Sol,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1620,0,Zona B,
211,3106,Porto Moniz,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1640,0,Zona B,
221,3107,Ribeira Brava,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1725,0,Zona B,
229,3108,Santa Cruz,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1415,0,Zona B,
234,3109,Santana,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1862,0,Zona B,
243,3110,São Vicente,Ilha da Madeira,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,1725,0,Zona B,
212,3201,Porto Santo,Ilha de Porto Santo,Madeira,Z3,0.1,1.6,0.35,-,0.00,Zona C,5,Zona B,40,517,0,Zona B,
